[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ app_begin ] --START--
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007472s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007680s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.003957s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.000741s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: where conn.php 第 606 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: where conn.php 第 606 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.004964s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT * FROM `yge_category` ORDER BY display_order DESC,id DESC  [ RunTime:0.000885s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.004310s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | SQL: SELECT `id`,`module_title`,`module_name` FROM `yge_module`  [ RunTime:0.000348s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: uu HtmlAction.class.php 第 114 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_template ] --START--
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run LocationTemplate Behavior [ RunTime:0.012461s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_template ] --END-- [ RunTime:0.012614s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_parse ] --START--
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Use of undefined constant menunames - assumed 'menunames' 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: _TPL 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | NOTIC: [8] Undefined variable: value 7ce6d65bb1a5230ad0361d516a4f5905.php 第 58 行.
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run ParseTemplate Behavior [ RunTime:0.161972s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.162120s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_filter ] --START--
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run ContentReplace Behavior [ RunTime:0.007140s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run TokenBuild Behavior [ RunTime:0.007772s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006743s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run ShowRuntime Behavior [ RunTime:0.007304s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029332s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_end ] --START--
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Run ShowPageTrace Behavior [ RunTime:0.042549s ]
[ 2012-09-09T19:20:11+08:00 ] /admin.php?a=index&m=Html | INFO: Tag[ view_end ] --END-- [ RunTime:0.042719s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | INFO: Tag[ app_begin ] --START--
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007208s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007408s ]
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-09T19:20:25+08:00 ] /admin.php?a=docat&m=Html&page=1&mod=%E5%AA%92%E4%BD%93%E8%81%9A%E7%84%A6%2CArticle%2Cmeitijujiao%2C98%7C%E5%85%AC%E5%8F%B8%E6%96%B0%E9%97%BB%2CArticle%2Cgonsixinwen%2C2%7C%E5%91%98%E5%B7%A5%E9%A3%8E%E9%87%87%2CArticle%2Cygfc%2C111%7C%E5%91%98%E5%B7%A5%E7%85%A7%E7%89%87%2CArticle%2Cyuangong%2C114%7C%E5%85%AC%E5%8F%B8%E5%8A%A8%E6%80%81%2CArticle%2Cgongsidongtai%2C110 | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.003601s ]
