[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008069s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008449s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ view_template ] --START--
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run LocationTemplate Behavior [ RunTime:0.011780s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ view_template ] --END-- [ RunTime:0.011937s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run ParseTemplate Behavior [ RunTime:0.135166s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ view_parse ] --END-- [ RunTime:0.135331s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run ContentReplace Behavior [ RunTime:0.011026s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run TokenBuild Behavior [ RunTime:0.017158s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run WriteHtmlCache Behavior [ RunTime:0.012753s ]
[ 2012-09-11T16:35:33+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocD9hPWluZGV4Jm09UHJvZHVjdCZjYXRlZ29yeT0xMDM | INFO: Run ShowRuntime Behavior [ RunTime:0.008350s ]
