[ 2012-09-13T15:52:11+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:11+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001750s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002052s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001757s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002050s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --START--
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run LocationTemplate Behavior [ RunTime:0.003120s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_template ] --END-- [ RunTime:0.003328s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --START--
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ParseTemplate Behavior [ RunTime:0.030970s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031200s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Tag[ view_filter ] --START--
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ContentReplace Behavior [ RunTime:0.001178s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run TokenBuild Behavior [ RunTime:0.001144s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000715s ]
[ 2012-09-13T15:52:11+08:00 ] /admin.php?a=login&m=Public&jumpUri=L2FkbWluLnBocA | INFO: Run ShowRuntime Behavior [ RunTime:0.001643s ]
